"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"POL","FDISTOCK","OUTWARD","PC_GDP","A","2015",4.6703745907457,
"POL","FDISTOCK","OUTWARD","PC_GDP","A","2016",5.6627552079255,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2012",44.905374203822,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2013",52.011916773744,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2014",48.143745096355,
"PRT","FDISTOCK","INWARD","PC_GDP","A","2015",52.946264566428,
"PRT","FDISTOCK","OUTWARD","PC_GDP","A","2012",23.071562764751,
"PRT","FDISTOCK","OUTWARD","PC_GDP","A","2013",23.479511907023,
"PRT","FDISTOCK","OUTWARD","PC_GDP","A","2014",20.374201146233,
"PRT","FDISTOCK","OUTWARD","PC_GDP","A","2015",23.995787851654,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2012",59.004521986924,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2013",58.917688146359,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2014",49.362607407114,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2015",50.06385165489,
"SVK","FDISTOCK","INWARD","PC_GDP","A","2016",46.469063667234,
"SVK","FDISTOCK","OUTWARD","PC_GDP","A","2012",5.1006165816845,
"SVK","FDISTOCK","OUTWARD","PC_GDP","A","2013",4.9034462476882,
"SVK","FDISTOCK","OUTWARD","PC_GDP","A","2014",2.7988088966572,
"SVK","FDISTOCK","OUTWARD","PC_GDP","A","2015",2.715734649211,
"SVK","FDISTOCK","OUTWARD","PC_GDP","A","2016",2.9597849935476,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2013",43.7737111001,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2014",39.351794287102,
"ESP","FDISTOCK","INWARD","PC_GDP","A","2015",42.612336894175,
"ESP","FDISTOCK","OUTWARD","PC_GDP","A","2013",39.157354437299,
"ESP","FDISTOCK","OUTWARD","PC_GDP","A","2014",35.806196483559,
"ESP","FDISTOCK","OUTWARD","PC_GDP","A","2015",38.645664921554,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2013",62.169534612611,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2014",51.153243556621,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2015",56.605893155434,
"SWE","FDISTOCK","INWARD","PC_GDP","A","2016",53.17046749358,
"SWE","FDISTOCK","OUTWARD","PC_GDP","A","2013",71.626640838056,
"SWE","FDISTOCK","OUTWARD","PC_GDP","A","2014",65.777096169262,
"SWE","FDISTOCK","OUTWARD","PC_GDP","A","2015",72.098463042415,
"SWE","FDISTOCK","OUTWARD","PC_GDP","A","2016",70.795230818417,
"CHE","FDISTOCK","INWARD","PC_GDP","A","2014",95.727130267614,
"CHE","FDISTOCK","INWARD","PC_GDP","A","2015",106.86965106684,
"CHE","FDISTOCK","OUTWARD","PC_GDP","A","2014",141.64436489758,
"CHE","FDISTOCK","OUTWARD","PC_GDP","A","2015",152.83144714923,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2012",21.75388549281,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2013",15.909901931979,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2014",19.491097852013,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2015",17.51686587347,
"TUR","FDISTOCK","INWARD","PC_GDP","A","2016",18.425131436587,
"TUR","FDISTOCK","OUTWARD","PC_GDP","A","2012",3.5396618098912,
"TUR","FDISTOCK","OUTWARD","PC_GDP","A","2013",3.5049500034347,
"TUR","FDISTOCK","OUTWARD","PC_GDP","A","2014",4.229782914804,
"TUR","FDISTOCK","OUTWARD","PC_GDP","A","2015",4.1424821729722,
"TUR","FDISTOCK","OUTWARD","PC_GDP","A","2016",5.2264025792561,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2012",54.44157482103,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2013",55.622097343065,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2014",54.306895697884,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2015",49.222288179295,
"GBR","FDISTOCK","INWARD","PC_GDP","A","2016",45.673555558925,
"GBR","FDISTOCK","OUTWARD","PC_GDP","A","2012",64.019383526963,
"GBR","FDISTOCK","OUTWARD","PC_GDP","A","2013",66.047364828154,
"GBR","FDISTOCK","OUTWARD","PC_GDP","A","2014",56.086735506688,
"GBR","FDISTOCK","OUTWARD","PC_GDP","A","2015",54.461055762448,
"GBR","FDISTOCK","OUTWARD","PC_GDP","A","2016",55.117943841787,
"USA","FDISTOCK","INWARD","PC_GDP","A","2012",24.23857777842,
"USA","FDISTOCK","INWARD","PC_GDP","A","2013",29.646304766667,
"USA","FDISTOCK","INWARD","PC_GDP","A","2014",31.373861236836,
"USA","FDISTOCK","INWARD","PC_GDP","A","2015",31.655870869133,
"USA","FDISTOCK","INWARD","PC_GDP","A","2016",35.317559043147,
"USA","FDISTOCK","OUTWARD","PC_GDP","A","2012",32.329257969983,
"USA","FDISTOCK","OUTWARD","PC_GDP","A","2013",37.469158734943,
"USA","FDISTOCK","OUTWARD","PC_GDP","A","2014",36.087775712016,
"USA","FDISTOCK","OUTWARD","PC_GDP","A","2015",33.308700153155,
"USA","FDISTOCK","OUTWARD","PC_GDP","A","2016",34.27131569372,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2012",17.2,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2013",14.9,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2014",14.4,
"ARG","FDISTOCK","INWARD","PC_GDP","A","2015",14.507465405664,
"ARG","FDISTOCK","OUTWARD","PC_GDP","A","2012",5.6,
"ARG","FDISTOCK","OUTWARD","PC_GDP","A","2013",5.6,
"ARG","FDISTOCK","OUTWARD","PC_GDP","A","2014",6.3,
"ARG","FDISTOCK","OUTWARD","PC_GDP","A","2015",5.9845647159439,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2012",27.402438139447,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2013",26.076976275524,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2014",25.034274962708,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2015",26.439941460058,
"BRA","FDISTOCK","INWARD","PC_GDP","A","2016",35.368212276515,
"BRA","FDISTOCK","OUTWARD","PC_GDP","A","2012",8.2853566979066,
"BRA","FDISTOCK","OUTWARD","PC_GDP","A","2013",8.2574682163396,
"BRA","FDISTOCK","OUTWARD","PC_GDP","A","2014",7.1548626802767,
"BRA","FDISTOCK","OUTWARD","PC_GDP","A","2015",9.0061366264735,
"BRA","FDISTOCK","OUTWARD","PC_GDP","A","2016",9.7446459859562,
"CHL","FDISTOCK","INWARD","PC_GDP","A","2012",70.416395545033,
"CHL","FDISTOCK","INWARD","PC_GDP","A","2013",72.687432804925,
"CHL","FDISTOCK","INWARD","PC_GDP","A","2014",81.603923232149,
"CHL","FDISTOCK","INWARD","PC_GDP","A","2015",91.668335223243,
"CHL","FDISTOCK","INWARD","PC_GDP","A","2016",100.97828202937,
"CHL","FDISTOCK","OUTWARD","PC_GDP","A","2012",30.183911688581,
"CHL","FDISTOCK","OUTWARD","PC_GDP","A","2013",33.098076727038,
"CHL","FDISTOCK","OUTWARD","PC_GDP","A","2014",36.521874190803,
"CHL","FDISTOCK","OUTWARD","PC_GDP","A","2015",41.304530889158,
"CHL","FDISTOCK","OUTWARD","PC_GDP","A","2016",45.806564493561,
"CHN","FDISTOCK","INWARD","PC_GDP","A","2012",24.157459536138,
"CHN","FDISTOCK","INWARD","PC_GDP","A","2013",24.265301636081,
"CHN","FDISTOCK","INWARD","PC_GDP","A","2014",24.795116803408,
"CHN","FDISTOCK","INWARD","PC_GDP","A","2015",24.494984065666,
"CHN","FDISTOCK","INWARD","PC_GDP","A","2016",25.158329057529,
"CHN","FDISTOCK","OUTWARD","PC_GDP","A","2012",6.2134200808859,
"CHN","FDISTOCK","OUTWARD","PC_GDP","A","2013",6.8747804921867,
"CHN","FDISTOCK","OUTWARD","PC_GDP","A","2014",8.4202781942995,
"CHN","FDISTOCK","OUTWARD","PC_GDP","A","2015",9.9558002088676,
"CHN","FDISTOCK","OUTWARD","PC_GDP","A","2016",11.563220987289,
"EST","FDISTOCK","INWARD","PC_GDP","A","2012",82.166932243275,
"EST","FDISTOCK","INWARD","PC_GDP","A","2013",88.027219572624,
"EST","FDISTOCK","INWARD","PC_GDP","A","2014",78.921765723265,
"EST","FDISTOCK","INWARD","PC_GDP","A","2015",84.645225537602,
"EST","FDISTOCK","INWARD","PC_GDP","A","2016",83.716852273881,
"EST","FDISTOCK","OUTWARD","PC_GDP","A","2012",26.314680934627,
"EST","FDISTOCK","OUTWARD","PC_GDP","A","2013",27.40738132195,
"EST","FDISTOCK","OUTWARD","PC_GDP","A","2014",23.909827195072,
