"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-02","Feb-2016","IDX","Index","0","Units","2010_100","2010=100",159.4737,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-03","Mar-2016","IDX","Index","0","Units","2010_100","2010=100",160.2073,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-04","Apr-2016","IDX","Index","0","Units","2010_100","2010=100",160.9122,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-05","May-2016","IDX","Index","0","Units","2010_100","2010=100",161.5719,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-06","Jun-2016","IDX","Index","0","Units","2010_100","2010=100",162.1536,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-07","Jul-2016","IDX","Index","0","Units","2010_100","2010=100",163.0292,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-08","Aug-2016","IDX","Index","0","Units","2010_100","2010=100",163.0455,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-09","Sep-2016","IDX","Index","0","Units","2010_100","2010=100",163.3227,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-10","Oct-2016","IDX","Index","0","Units","2010_100","2010=100",164.025,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-11","Nov-2016","IDX","Index","0","Units","2010_100","2010=100",164.7467,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2016-12","Dec-2016","IDX","Index","0","Units","2010_100","2010=100",165.4057,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2017-01","Jan-2017","IDX","Index","0","Units","2010_100","2010=100",166.4312,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2017-02","Feb-2017","IDX","Index","0","Units","2010_100","2010=100",166.7973,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2017-03","Mar-2017","IDX","Index","0","Units","2010_100","2010=100",167.0142,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2017-04","Apr-2017","IDX","Index","0","Units","2010_100","2010=100",167.5653,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2017-05","May-2017","IDX","Index","0","Units","2010_100","2010=100",168.1853,,
"CPALTT01","Consumer prices - all items","RUS","Russia","IXOB","Index","M","Monthly","2017-06","Jun-2017","IDX","Index","0","Units","2010_100","2010=100",169.2113,,
