TIME,GEO,GEO_LABEL,AGE,UNIT,SEX,Value
2013,CZ06,Jihov�chod,Total,Number,Total,16758
2013,CZ06,Jihov�chod,Total,Number,Males,8472
2013,CZ06,Jihov�chod,Total,Number,Females,8286
2013,CZ06,Jihov�chod,Less than 5 years,Number,Total,43
2013,CZ06,Jihov�chod,Less than 5 years,Number,Males,30
2013,CZ06,Jihov�chod,Less than 5 years,Number,Females,13
2013,CZ06,Jihov�chod,From 45 to 49 years,Number,Total,304
2013,CZ06,Jihov�chod,From 45 to 49 years,Number,Males,209
2013,CZ06,Jihov�chod,From 45 to 49 years,Number,Females,95
2013,CZ06,Jihov�chod,From 50 to 54 years,Number,Total,413
2013,CZ06,Jihov�chod,From 50 to 54 years,Number,Males,286
2013,CZ06,Jihov�chod,From 50 to 54 years,Number,Females,127
2013,CZ07,Stredn� Morava,Total,Number,Total,13184
2013,CZ07,Stredn� Morava,Total,Number,Males,6740
2013,CZ07,Stredn� Morava,Total,Number,Females,6444
2013,CZ07,Stredn� Morava,Less than 5 years,Number,Total,46
2013,CZ07,Stredn� Morava,Less than 5 years,Number,Males,26
2013,CZ07,Stredn� Morava,Less than 5 years,Number,Females,20
2013,CZ07,Stredn� Morava,From 45 to 49 years,Number,Total,232
2013,CZ07,Stredn� Morava,From 45 to 49 years,Number,Males,167
2013,CZ07,Stredn� Morava,From 45 to 49 years,Number,Females,65
2013,CZ07,Stredn� Morava,From 50 to 54 years,Number,Total,356
2013,CZ07,Stredn� Morava,From 50 to 54 years,Number,Males,237
2013,CZ07,Stredn� Morava,From 50 to 54 years,Number,Females,119
2013,CZ08,Moravskoslezsko,Total,Number,Total,13284
2013,CZ08,Moravskoslezsko,Total,Number,Males,6787
2013,CZ08,Moravskoslezsko,Total,Number,Females,6497
2013,CZ08,Moravskoslezsko,Less than 5 years,Number,Total,49
2013,CZ08,Moravskoslezsko,Less than 5 years,Number,Males,20
2013,CZ08,Moravskoslezsko,Less than 5 years,Number,Females,29
2013,CZ08,Moravskoslezsko,From 45 to 49 years,Number,Total,309
2013,CZ08,Moravskoslezsko,From 45 to 49 years,Number,Males,231
2013,CZ08,Moravskoslezsko,From 45 to 49 years,Number,Females,78
2013,CZ08,Moravskoslezsko,From 50 to 54 years,Number,Total,406
2013,CZ08,Moravskoslezsko,From 50 to 54 years,Number,Males,281
2013,CZ08,Moravskoslezsko,From 50 to 54 years,Number,Females,125
2013,DK01,Hovedstaden,Total,Number,Total,15265
2013,DK01,Hovedstaden,Total,Number,Males,7293
2013,DK01,Hovedstaden,Total,Number,Females,7972
2013,DK01,Hovedstaden,Less than 5 years,Number,Total,88
2013,DK01,Hovedstaden,Less than 5 years,Number,Males,44
2013,DK01,Hovedstaden,Less than 5 years,Number,Females,44
2013,DK01,Hovedstaden,From 45 to 49 years,Number,Total,254
2013,DK01,Hovedstaden,From 45 to 49 years,Number,Males,163
2013,DK01,Hovedstaden,From 45 to 49 years,Number,Females,91
2013,DK01,Hovedstaden,From 50 to 54 years,Number,Total,382
2013,DK01,Hovedstaden,From 50 to 54 years,Number,Males,243
2013,DK01,Hovedstaden,From 50 to 54 years,Number,Females,139
2013,DK02,Sj�lland,Total,Number,Total,8555
2013,DK02,Sj�lland,Total,Number,Males,4316
2013,DK02,Sj�lland,Total,Number,Females,4239
2013,DK02,Sj�lland,Less than 5 years,Number,Total,24
2013,DK02,Sj�lland,Less than 5 years,Number,Males,15
2013,DK02,Sj�lland,Less than 5 years,Number,Females,9
2013,DK02,Sj�lland,From 45 to 49 years,Number,Total,156
2013,DK02,Sj�lland,From 45 to 49 years,Number,Males,102
2013,DK02,Sj�lland,From 45 to 49 years,Number,Females,54
2013,DK02,Sj�lland,From 50 to 54 years,Number,Total,228
2013,DK02,Sj�lland,From 50 to 54 years,Number,Males,141
2013,DK02,Sj�lland,From 50 to 54 years,Number,Females,87
2013,DK03,Syddanmark,Total,Number,Total,11754
2013,DK03,Syddanmark,Total,Number,Males,5895
2013,DK03,Syddanmark,Total,Number,Females,5859
2013,DK03,Syddanmark,Less than 5 years,Number,Total,48
2013,DK03,Syddanmark,Less than 5 years,Number,Males,25
2013,DK03,Syddanmark,Less than 5 years,Number,Females,23
2013,DK03,Syddanmark,From 45 to 49 years,Number,Total,200
2013,DK03,Syddanmark,From 45 to 49 years,Number,Males,129
2013,DK03,Syddanmark,From 45 to 49 years,Number,Females,71
2013,DK03,Syddanmark,From 50 to 54 years,Number,Total,313
2013,DK03,Syddanmark,From 50 to 54 years,Number,Males,190
2013,DK03,Syddanmark,From 50 to 54 years,Number,Females,123
2013,DK04,Midtjylland,Total,Number,Total,10921
2013,DK04,Midtjylland,Total,Number,Males,5554
2013,DK04,Midtjylland,Total,Number,Females,5367
2013,DK04,Midtjylland,Less than 5 years,Number,Total,50
2013,DK04,Midtjylland,Less than 5 years,Number,Males,27
2013,DK04,Midtjylland,Less than 5 years,Number,Females,23
2013,DK04,Midtjylland,From 45 to 49 years,Number,Total,152
2013,DK04,Midtjylland,From 45 to 49 years,Number,Males,100
2013,DK04,Midtjylland,From 45 to 49 years,Number,Females,52
2013,DK04,Midtjylland,From 50 to 54 years,Number,Total,308
2013,DK04,Midtjylland,From 50 to 54 years,Number,Males,193
2013,DK04,Midtjylland,From 50 to 54 years,Number,Females,115
2013,DK05,Nordjylland,Total,Number,Total,5975
2013,DK05,Nordjylland,Total,Number,Males,3053
2013,DK05,Nordjylland,Total,Number,Females,2922
2013,DK05,Nordjylland,Less than 5 years,Number,Total,27
2013,DK05,Nordjylland,Less than 5 years,Number,Males,13
2013,DK05,Nordjylland,Less than 5 years,Number,Females,14
2013,DK05,Nordjylland,From 45 to 49 years,Number,Total,91
2013,DK05,Nordjylland,From 45 to 49 years,Number,Males,63
2013,DK05,Nordjylland,From 45 to 49 years,Number,Females,28
2013,DK05,Nordjylland,From 50 to 54 years,Number,Total,166
2013,DK05,Nordjylland,From 50 to 54 years,Number,Males,111
2013,DK05,Nordjylland,From 50 to 54 years,Number,Females,55
2013,DE11,Stuttgart,Total,Number,Total,37413
2013,DE11,Stuttgart,Total,Number,Males,18103
2013,DE11,Stuttgart,Total,Number,Females,19310
2013,DE11,Stuttgart,Less than 5 years,Number,Total,109
2013,DE11,Stuttgart,Less than 5 years,Number,Males,51
2013,DE11,Stuttgart,Less than 5 years,Number,Females,58
2013,DE11,Stuttgart,From 45 to 49 years,Number,Total,550
2013,DE11,Stuttgart,From 45 to 49 years,Number,Males,356
2013,DE11,Stuttgart,From 45 to 49 years,Number,Females,194
2013,DE11,Stuttgart,From 50 to 54 years,Number,Total,955
2013,DE11,Stuttgart,From 50 to 54 years,Number,Males,606
2013,DE11,Stuttgart,From 50 to 54 years,Number,Females,349
2013,DE12,Karlsruhe,Total,Number,Total,27035
2013,DE12,Karlsruhe,Total,Number,Males,12932
2013,DE12,Karlsruhe,Total,Number,Females,14103
