Round,HomeTeam,AwayTeam,HGFT,AGFT,Result,HGHT,AGHT,ResultHT,HY,AY,HR,AR,Home,Draw,Away
10,Augsburg,Hertha,0,0,D,0,0,D,3,1,0,0,2.65,3.3,2.65
10,Darmstadt,Ingolstadt,0,1,A,0,0,D,1,4,0,0,2.6,3.25,2.75
10,Dortmund,Bayern Munich,1,0,H,1,0,H,3,2,0,0,3.05,3.4,2.3
10,Mainz,Freiburg,4,2,H,2,0,H,4,3,0,0,2,3.4,3.8
10,M'gladbach,FC Koln,1,2,A,1,0,H,1,5,0,0,2.2,3.35,3.3
10,Wolfsburg,Schalke 04,0,1,A,0,0,D,2,2,0,0,2.4,3.4,2.9
10,Hoffenheim,Hamburg,2,2,D,1,1,D,1,2,0,0,1.6,4.2,5.2
10,Werder Bremen,Ein Frankfurt,1,2,A,1,0,H,1,2,0,0,2.65,3.4,2.6
11,Freiburg,RB Leipzig,1,4,A,1,3,A,2,3,0,0,3.8,3.4,2
11,Bayern Munich,Leverkusen,2,1,H,1,1,D,0,0,0,0,1.3,6,8.5
11,Ein Frankfurt,Dortmund,2,1,H,0,0,D,4,3,0,0,5,4,1.65
11,FC Koln,Augsburg,0,0,D,0,0,D,2,3,0,0,1.75,3.6,4.8
11,Hamburg,Werder Bremen,2,2,D,2,2,D,2,3,0,0,2.3,3.3,3.15
11,Ingolstadt,Wolfsburg,1,1,D,1,0,H,2,1,0,0,3.15,3.3,2.3
11,M'gladbach,Hoffenheim,1,1,D,1,0,H,0,2,0,0,2.2,3.35,3.3
11,Hertha,Mainz,2,1,H,1,1,D,1,0,1,1,2,3.4,3.8
11,Schalke 04,Darmstadt,3,1,H,1,1,D,0,2,0,0,1.35,5.3,8
12,Mainz,Bayern Munich,1,3,A,1,2,A,3,2,0,0,8.3,5.5,1.33
12,Dortmund,M'gladbach,4,1,H,2,1,H,1,1,0,0,1.5,4.5,6
12,Hoffenheim,FC Koln,4,0,H,2,0,H,1,1,0,0,2.2,3.2,3.5
12,Leverkusen,Freiburg,1,1,D,0,1,A,0,1,0,0,1.5,4.2,6.5
12,RB Leipzig,Schalke 04,2,1,H,1,1,D,1,5,0,0,2,3.4,3.8
12,Werder Bremen,Ingolstadt,2,1,H,1,0,H,0,3,0,0,2.2,3.4,3.25
12,Wolfsburg,Hertha,2,3,A,2,1,H,3,2,1,0,2.3,3.3,3.15
12,Augsburg,Ein Frankfurt,1,1,D,1,1,D,3,2,0,0,2.65,3.3,2.65
12,Darmstadt,Hamburg,0,2,A,0,1,A,2,4,0,0,2.65,3.3,2.65
13,Ein Frankfurt,Hoffenheim,0,0,D,0,0,D,4,3,1,0,2.4,3.3,2.95
13,Bayern Munich,Wolfsburg,5,0,H,2,0,H,1,0,0,0,1.17,7.5,15
13,FC Koln,Dortmund,1,1,D,1,0,H,2,3,1,0,5,3.7,1.7
13,Freiburg,Darmstadt,1,0,H,0,0,D,3,4,0,0,1.7,3.7,5
13,Hamburg,Augsburg,1,0,H,0,0,D,1,3,1,1,2.5,3.3,2.85
13,Hertha,Werder Bremen,0,1,A,0,1,A,0,3,0,0,1.7,3.7,5
13,Ingolstadt,RB Leipzig,1,0,H,1,0,H,1,4,1,0,5,3.7,1.7
13,M'gladbach,Mainz,1,0,H,0,0,D,2,0,0,1,1.85,3.5,4.3
13,Schalke 04,Leverkusen,0,1,A,0,0,D,3,3,1,0,2.2,3.35,3.3
14,Hoffenheim,Dortmund,2,2,D,2,1,H,5,1,0,1,4.3,3.5,1.85
14,Augsburg,M'gladbach,1,0,H,0,0,D,0,0,0,0,3.15,3.3,2.3
14,Mainz,Hamburg,3,1,H,1,1,D,2,3,0,0,2,3.4,3.8
14,RB Leipzig,Hertha,2,0,H,1,0,H,1,3,0,0,1.8,3.6,4.5
14,Schalke 04,Freiburg,1,1,D,0,0,D,1,0,0,0,1.65,3.8,5.3
14,Werder Bremen,FC Koln,1,1,D,1,1,D,1,4,0,0,2.65,3.3,2.65
14,Wolfsburg,Ein Frankfurt,1,0,H,1,0,H,3,4,0,0,2.65,3.3,2.65
14,Darmstadt,Bayern Munich,0,1,A,0,0,D,1,2,0,0,15,7.5,1.17
14,Leverkusen,Ingolstadt,1,2,A,0,1,A,1,2,1,0,1.5,4.2,6.5
15,Dortmund,Augsburg,1,1,D,0,1,A,1,2,0,0,1.27,5.8,10.5
15,Ein Frankfurt,Mainz,3,0,H,1,0,H,3,0,0,1,2.1,3.4,3.5
15,Hamburg,Schalke 04,2,1,H,0,0,D,2,4,0,0,2.95,3.3,2.4
15,M'gladbach,Wolfsburg,1,2,A,0,1,A,1,2,0,0,1.8,3.6,4.5
15,Bayern Munich,RB Leipzig,3,0,H,3,0,H,1,1,0,1,1.55,4,6.2
15,FC Koln,Leverkusen,1,1,D,1,1,D,0,0,0,0,2.65,3.3,2.65
15,Hertha,Darmstadt,2,0,H,0,0,D,1,3,0,0,1.55,4,6.2
15,Hoffenheim,Werder Bremen,1,1,D,1,0,H,2,2,0,0,1.7,3.7,5
15,Ingolstadt,Freiburg,1,2,A,0,2,A,4,2,0,0,2.2,3.35,3.3
