TIME,CURRENCY,UNIT,STATINFO,Value
1973Q3,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1973Q4,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1973Q4,Belgian franc,National currency (former currencies of the euro area countries),Average,47.8248
1973Q4,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1973Q4,German mark,National currency (former currencies of the euro area countries),Average,3.16803
1973Q4,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1973Q4,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1973Q4,Finnish markka,National currency (former currencies of the euro area countries),Average,
1973Q4,French franc,National currency (former currencies of the euro area countries),Average,5.47235
1973Q4,Greek drachma,National currency (former currencies of the euro area countries),Average,
1973Q4,Irish pound,National currency (former currencies of the euro area countries),Average,
1973Q4,Italian lira,National currency (former currencies of the euro area countries),Average,730.557
1973Q4,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1973Q4,Luxembourg franc,National currency (former currencies of the euro area countries),Average,47.8248
1973Q4,Latvian lats,National currency (former currencies of the euro area countries),Average,
1973Q4,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1973Q4,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.30518
1973Q4,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1973Q4,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1973Q4,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1974Q1,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1974Q1,Belgian franc,National currency (former currencies of the euro area countries),Average,47.5327
1974Q1,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1974Q1,German mark,National currency (former currencies of the euro area countries),Average,3.13028
1974Q1,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1974Q1,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1974Q1,Finnish markka,National currency (former currencies of the euro area countries),Average,
1974Q1,French franc,National currency (former currencies of the euro area countries),Average,5.68507
1974Q1,Greek drachma,National currency (former currencies of the euro area countries),Average,
1974Q1,Irish pound,National currency (former currencies of the euro area countries),Average,
1974Q1,Italian lira,National currency (former currencies of the euro area countries),Average,743.973
1974Q1,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1974Q1,Luxembourg franc,National currency (former currencies of the euro area countries),Average,47.5327
1974Q1,Latvian lats,National currency (former currencies of the euro area countries),Average,
1974Q1,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1974Q1,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.27069
1974Q1,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1974Q1,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1974Q1,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1974Q2,Austrian schilling,National currency (former currencies of the euro area countries),Average,
1974Q2,Belgian franc,National currency (former currencies of the euro area countries),Average,46.2493
1974Q2,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1974Q2,German mark,National currency (former currencies of the euro area countries),Average,3.03455
1974Q2,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1974Q2,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1974Q2,Finnish markka,National currency (former currencies of the euro area countries),Average,
1974Q2,French franc,National currency (former currencies of the euro area countries),Average,5.90732
1974Q2,Greek drachma,National currency (former currencies of the euro area countries),Average,
1974Q2,Irish pound,National currency (former currencies of the euro area countries),Average,
1974Q2,Italian lira,National currency (former currencies of the euro area countries),Average,774.243
1974Q2,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1974Q2,Luxembourg franc,National currency (former currencies of the euro area countries),Average,46.2493
1974Q2,Latvian lats,National currency (former currencies of the euro area countries),Average,
1974Q2,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1974Q2,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.19756
1974Q2,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1974Q2,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1974Q2,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1974Q3,Austrian schilling,National currency (former currencies of the euro area countries),Average,22.0372
1974Q3,Belgian franc,National currency (former currencies of the euro area countries),Average,46.0905
1974Q3,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1974Q3,German mark,National currency (former currencies of the euro area countries),Average,3.11178
1974Q3,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1974Q3,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1974Q3,Finnish markka,National currency (former currencies of the euro area countries),Average,
1974Q3,French franc,National currency (former currencies of the euro area countries),Average,5.70665
1974Q3,Greek drachma,National currency (former currencies of the euro area countries),Average,
1974Q3,Irish pound,National currency (former currencies of the euro area countries),Average,0.507256
1974Q3,Italian lira,National currency (former currencies of the euro area countries),Average,779.221
1974Q3,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1974Q3,Luxembourg franc,National currency (former currencies of the euro area countries),Average,46.0905
1974Q3,Latvian lats,National currency (former currencies of the euro area countries),Average,
1974Q3,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1974Q3,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.18623
1974Q3,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1974Q3,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1974Q3,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1974Q4,Austrian schilling,National currency (former currencies of the euro area countries),Average,21.7546
1974Q4,Belgian franc,National currency (former currencies of the euro area countries),Average,45.731
1974Q4,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1974Q4,German mark,National currency (former currencies of the euro area countries),Average,3.05938
1974Q4,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1974Q4,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1974Q4,Finnish markka,National currency (former currencies of the euro area countries),Average,
1974Q4,French franc,National currency (former currencies of the euro area countries),Average,5.63832
1974Q4,Greek drachma,National currency (former currencies of the euro area countries),Average,
1974Q4,Irish pound,National currency (former currencies of the euro area countries),Average,0.520088
1974Q4,Italian lira,National currency (former currencies of the euro area countries),Average,805.036
1974Q4,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1974Q4,Luxembourg franc,National currency (former currencies of the euro area countries),Average,45.731
1974Q4,Latvian lats,National currency (former currencies of the euro area countries),Average,
1974Q4,Maltese lira ,National currency (former currencies of the euro area countries),Average,
1974Q4,Dutch guilder,National currency (former currencies of the euro area countries),Average,3.15539
1974Q4,Portuguese escudo,National currency (former currencies of the euro area countries),Average,
1974Q4,Slovenian tolar ,National currency (former currencies of the euro area countries),Average,
1974Q4,Slovak koruna,National currency (former currencies of the euro area countries),Average,
1975Q1,Austrian schilling,National currency (former currencies of the euro area countries),Average,21.3681
1975Q1,Belgian franc,National currency (former currencies of the euro area countries),Average,45.0058
1975Q1,Cyprus pound,National currency (former currencies of the euro area countries),Average,
1975Q1,German mark,National currency (former currencies of the euro area countries),Average,3.01698
1975Q1,Estonian Kroon ,National currency (former currencies of the euro area countries),Average,
1975Q1,Spanish peseta,National currency (former currencies of the euro area countries),Average,
1975Q1,Finnish markka,National currency (former currencies of the euro area countries),Average,
1975Q1,French franc,National currency (former currencies of the euro area countries),Average,5.53233
1975Q1,Greek drachma,National currency (former currencies of the euro area countries),Average,
1975Q1,Irish pound,National currency (former currencies of the euro area countries),Average,0.539723
1975Q1,Italian lira,National currency (former currencies of the euro area countries),Average,823.631
1975Q1,Lithuanian litas,National currency (former currencies of the euro area countries),Average,
1975Q1,Luxembourg franc,National currency (former currencies of the euro area countries),Average,45.0058
