month,arabica,robusta
1999M4,99.6942857143,68.890952381
1999M5,108.908,68.1695
1999M6,104.205,66.1995454545
1999M7,90.8495238095,62.2776190476
1999M8,87.64,63.7572727273
1999M9,81.059047619,60.4395238095
1999M10,92.199047619,59.2519047619
1999M11,114.0173673128,64.3731570997
1999M12,123.5641176471,66.4029411765
2000M1,109.166,53.6185
2000M2,101.6453333333,49.6168333333
2000M3,97.946,47.1712
2000M4,92.564,45.225
2000M5,91.7572727273,45.1886363636
2000M6,84.1027272727,43.7195454545
2000M7,84.6733333333,41.9557142857
2000M8,74.5247826087,38.94
2000M9,73.8315,39.4695
2000M10,75.3713636364,36.5472727273
2000M11,70.4715,33.338
2000M12,64.4952631579,31.0747368421
2001M1,64.9842857143,32.9657142857
2001M2,66.941,31.9685
2001M3,65.9277272727,30.9609090909
2001M4,65.5057894737,28.62
2001M5,68.9386363636,29.7127272727
2001M6,63.6675,29.322
2001M7,58.4723809524,27.5876190476
2001M8,59.6769565217,25.8626086957
2001M9,57.712,23.788
2001M10,56.5317391304,21.2617391304
2001M11,58.9557894737,22.0336842105
2001M12,55.599375,23.758125
2002M1,57.3357142857,22.8842857143
2002M2,60.5094736842,24.4621052632
2002M3,66.379,29.773
2002M4,65.7795454545,30.3527272727
2002M5,58.4322727273,29.4336363636
2002M6,55.163,29.26
2002M7,53.0857142857,29.3057142857
2002M8,52.0231818182,28.7431818182
2002M9,57.5775,33.3075
2002M10,64.0530434783,34.4443478261
2002M11,70.1844444444,39.3538888889
2002M12,63.8619047619,38.5223809524
2003M1,65.2185714286,42.7514285714
2003M2,67.595,42.3538888889
2003M3,61.6619047619,38.3642857143
2003M4,65.322,38.669
2003M5,66.1772222222,38.8161111111
2003M6,61.3442857143,35.3257142857
2003M7,62.2861904762,36.6680952381
2003M8,63.598,37.915
2003M9,65.5075,38.7485
2003M10,62.5826086957,37.3182608696
2003M11,62.3622222222,36.0494444444
2003M12,64.8838823529,37.6002352941
2004M1,73.7309,41.1356
2004M2,77.5052631579,39.0968421053
2004M3,77.47,38.6745454545
2004M4,74.3447368421,38.0563157895
2004M5,75.8083333333,37.9305555556
2004M6,82.157,41.0405
2004M7,73.9631578947,36.7147368421
2004M8,73.1685714286,34.9252380952
2004M9,80.9884210526,35.0347368421
2004M10,79.809047619,31.7542857143
2004M11,89.5089473684,34.0210526316
2004M12,102.573125,38.958125
2005M1,107.1052631579,39.6336842105
2005M2,122.23125,44.613125
2005M3,134.6904761905,50.6571428571
2005M4,128.7947368421,53.2763157895
2005M5,126.1571428571,58.5138095238
2005M6,119.9825,62.9165
2005M7,108.4515,60.572
2005M8,108.4260869565,55.6026086957
2005M9,98.1742857143,50.0714285714
2005M10,106.0895238095,50.8376190476
2005M11,108.814,54.7175
2005M12,103.03,59.008
2006M1,124.3585,66.445
2006M2,118.5172222222,65.4588888889
2006M3,112.2034782609,62.9191304348
2006M4,114.7088235294,64.4576470588
2006M5,107.9636363636,63.9659090909
2006M6,101.2072727273,64.1368181818
2006M7,102.7715,68.659
2006M8,112.127826087,75.7265217391
2006M9,109.358,77.875
2006M10,110.9127272727,76.2568181818
2006M11,123.5705,79.6655
2006M12,129.95,77.75
2007M1,124.4645,80.551
2007M2,122.3447368421,80.9684210526
2007M3,116.6145,78.875
2007M4,114.5895,81.644
2007M5,112.52,86.2757142857
2007M6,118.6705,94.7625
2007M7,116.800952381,93.4666666667
2007M8,123.6272727273,88.4004545455
2007M9,128.0352631579,93.6063157895
2007M10,134.57,97.45
2007M11,130.3321052632,92.1973684211
2007M12,136.4723076923,91.3669230769
2008M1,139.0535,100.7445
2008M2,158.2095,117.225
2008M3,148.065,122.438
2008M4,137.7352380952,111.8638095238
2008M5,139.7371428571,109.7947619048
2008M6,144.079,112.0375
2008M7,145.3527272727,115.0309090909
2008M8,145.7657894737,113.4289473684
2008M9,140.5572727273,106.6652380952
2008M10,121.4072727273,88.9145
2008M11,120.4370588235,92.92
2008M12,116.97125,83.8170588235
2009M1,128.0278947368,85.7721052632
2009M2,128.5094117647,81.4676470588
2009M3,127.7640909091,77.4790909091
2009M4,134.5795238095,76.4976190476
2009M5,147.6405263158,77.0473684211
2009M6,144.4552380952,75.6538095238
2009M7,137.5955,74.821
2009M8,146.8657142857,75.0385714286
2009M9,145.6685714286,77.3133333333
2009M10,151.9495454545,76.6818181818
2009M11,150.2278947368,73.0789473684
2009M12,155.8614285714,74.6785714286
2010M1,154.4052631579,75.1105263158
2010M2,155.9210526316,73.5210526316
2010M3,162.152173913,72.552173913
2010M4,171.0736842105,76.3736842105
2010M5,174.0277777778,76.235
2010M6,193.5240909091,82.5113636364
2010M7,205.2471428571,89.9523809524
2010M8,212.7995454545,89.0572727273
2010M9,222.1,87.1071428571
2010M10,215.8371428571,90.5657142857
2010M11,227.9595,97.9375
2010M12,237.328,98.3166666667
2011M1,262.9447368421,106.0263157895
2011M2,288.0831578947,114.6184210526
2011M3,294.4834782609,122.4608695652
2011M4,302.7094736842,121.2926315789
2011M5,293.0576190476,126.2961904762
2011M6,277.7777272727,122.1477272727
2011M7,269.18,116.5755
2011M8,273.542173913,118.9995652174
2011M9,275.5845454545,113.9418181818
2011M10,248.4928571429,107.3414285714
2011M11,249.504,108.1815
2011M12,243.1446666667,114.0673333333
2012M1,240.89,109.403
2012M2,225.494,111.2545
2012M3,201.8509090909,113.5968181818
2012M4,193.351,111.713
2012M5,186.3459090909,116.0077272727
2012M6,169.7895238095,113.3447619048
2012M7,190.7728571429,113.3695238095
2012M8,175.9669565217,113.0139130435
2012M9,179.6031578947,110.8652631579
2012M10,172.3740909091,109.8890909091
2012M11,160.6425,102.941
2012M12,154.22375,102.299375
2013M1,158.2728571429,105.7876190476
2013M2,152.9984210526,109.6978947368
2013M3,153.0115789474,112.6684210526
2013M4,152.9595454545,107.5804545455
2013M5,151.4254545455,105.7636363636
2013M6,138.855,97.053
2013M7,138.4395238095,102.4095238095
2013M8,135.63,100.7268181818
2013M9,132.78,93.483
2013M10,128.8282608696,90.0126086957
2013M11,122.7484210526,85.6689473684
2013M12,126.7371428571,95.4992857143
2014M1,135.0333333333,92.9285714286
2014M2,176.2763157895,101.1431578947
2014M3,216.0595238095,111.9042857143
2014M4,226.9852380952,110.679047619
2014M5,215.2380952381,108.3519047619
2014M6,198.910952381,104.6261904762
2014M7,198.5909090909,107.2295454545
2014M8,214.5,105.069047619
2014M9,212.0052380952,105.5676190476
2014M10,227.0595652174,109.3852173913
2014M11,212.9261111111,106.8055555556
2014M12,200.59,103.5106666667
2015M1,190.8983333333,102.325
2015M2,179.94,103.7426315789
2015M3,160.0222727273,98.0681818182
2015M4,164.9519047619,98.7314285714
2015M5,158.1733333333,94.3525
2015M6,159.7695454545,96.8877272727
2015M7,153.2922727273,92.7077272727
2015M8,158.7761904762,91.9371428571
2015M9,147.6542857143,87.9814285714
2015M10,153.8831818182,88.67
2015M11,148.9368421053,88.6305263158
2015M12,149.518125,86.319375
2016M1,146.3215789474,81.9610526316
2016M2,148.94,81.158
2016M3,156.9372727273,83.1909090909
2016M4,154.2019047619,87.6047619048
2016M5,155.4042857143,91.0257142857
2016M6,165.8490909091,92.6104545455
2016M7,172.3525,96.98
2016M8,170.342173913,96.6765217391
2016M9,178.070952381,101.7652380952
