year,gdp,export_volume,import_volume
1876,98093.9450202104,16412.4360784537,12700.3429257931
1877,98937.4369384964,16804.7652277395,12998.0072131163
1878,99274.3478748031,17066.31799393,13097.2286422241
1879,97298.5551288514,18177.9172502396,13593.3357877629
1880,104988.759769555,20008.7866135731,14635.1607933943
1881,107694.236470978,21447.3268276208,14287.8857915172
1882,109563.9101025,21839.6559769065,15032.0465098254
1883,113094.732747312,22624.314275478,15875.4286572413
1884,111823.995228092,22493.5378923828,15329.7107971487
1885,110492.126329742,21643.4914022637,15478.5429408103
1886,110923.079821065,22231.9851261923,15627.3750844719
1887,115760.343251029,23474.3607655971,16520.3679464417
1888,119893.274905836,24912.9009796449,17066.0858065344
1889,123775.976598662,26024.5002359545,18554.4072431508
1890,124944.698962317,25959.1120444069,18554.4072431508
1891,128750.368564173,24716.736405002,18951.2929595818
1892,125264.60705839,24520.5718303591,19248.9572469051
1893,123949.488176071,23147.419807859,18852.0715304741
1894,130418.674603348,24324.4072557163,20390.0036816443
1895,134634.538515905,26089.8884275021,21431.8286872758
1896,140223.054932443,27201.4876838117,22622.4858365689
1897,141821.108963357,27332.264066907,23118.5929821077
1898,149038.282847573,27397.6522584546,23912.3644149697
1899,154848.901754423,28705.4160894071,24408.4715605085
1900,154325.19673629,27528.4286415499,25053.410849709
1901,158356.767952334,28247.6987485737,26144.8465698943
1902,160587.107728853,29424.686196431,26293.6787135559
1903,158696.991014615,30601.6736442882,26194.4572844482
1904,160929.983899623,31124.7791766692,26492.1215717714
1905,166444.537143935,33871.0832216694,27186.6715755258
1906,170455.212634232,36094.2817342887,28079.6644374956
1907,174467.319689643,38382.8684384555,28526.1608684805
1908,167357.421574043,35571.1762019077,27236.2822900796
1909,171888.090894139,37598.210139884,28377.3287248189
1910,176790.507599818,40409.9023764319,29220.7108722348
1911,183040.847312102,41456.1134411939,30064.0930196508
1912,186108.461428064,43744.7001453607,32246.9644600214
1913,194715.60588993,45183.2403594085,33338.4001802068
1914,199290.915260275,37477.8841909736,31404.5207246084
1915,212022.126007686,31103.8199259856,33170.2367492852
1916,216187.85620918,35904.5392141728,30731.867000922
1917,218003.751709546,25617.2835966289,26233.4952237693
1918,222765.845576,20009.7207305952,26737.9855165341
1919,200732.290677296,29369.1062336155,30059.2132772356
1920,185286.377715974,31507.2417149089,29891.049846314
1921,166492.227011994,25011.3042255388,26374.4557467477
1922,176904.498870155,31546.1395441866,30299.9561369613
1923,182423.00295498,34619.0680571222,32467.1594773917
1924,191377.556752998,35786.0029354521,35656.6285444403
1925,198405.840257257,35552.6159597861,36638.0036419936
1926,191950.231705197,32674.1765932389,38028.2850301943
1927,207620.700851729,36797.3464966714,38641.6444661652
1928,209338.725708326,37030.7334723374,37455.8162232882
1929,215534.027463932,38275.4640092227,39336.7851602655
1930,213607.757170172,32907.5635689049,38846.0976114888
1931,202987.239874848,26528.3195673678,40277.2696287542
