year,gdp,export_volume,import_volume
1495,2436.7399295445,22.8842605057,
1496,2364.1174621506,23.4892876108,
1497,2525.8216970064,35.2671485907,
1498,2554.6206789275,38.8118956301,
1499,2568.5225690895,31.3653169264,
1500,2529.6390307121,38.6825859155,
1501,2441.4922953197,44.9036881494,
1502,2531.3949747524,49.0819341578,
1503,2641.7917151442,43.417219595,
1504,2650.9650202555,40.1726134528,
1505,2680.7653775305,38.905615515,
1506,2694.1601359115,39.7573987728,
1507,2646.3903193459,44.9463959451,
1508,2684.5794097194,51.2730813404,
1509,2810.9788276223,48.8850037667,
1510,2712.5644489811,43.2689286379,
1511,2768.8178188105,47.3949762293,
1512,2646.6264921458,39.9970369596,
1513,2762.9623181896,43.5797464841,
1514,2758.5720891058,50.1270888237,
1515,2834.6646199318,47.6951171266,
1516,2810.5817513223,44.7138757243,
1517,2819.6947131607,46.6582667543,
1518,2835.8301759703,48.1637165511,
1519,2811.2276861589,52.0109771432,
1520,2772.4934339449,54.4227812701,
1521,2838.7672373932,42.344779393,
1522,2889.9650785596,32.325056001,
1523,2964.857783538,43.6651620754,
1524,3026.5740186897,45.0389295023,
1525,3027.7281961459,46.2193255211,
1526,3065.7999302713,45.5217648588,
1527,2863.9369105345,47.973904126,
1528,2907.5983086567,49.8257615988,
1529,2970.1806133436,45.2913438481,
1530,3025.5445793321,44.9653771876,
1531,2941.0716947431,41.1833646167,
1532,3061.735293989,39.4287860118,
1533,3064.634465262,46.2430520743,
1534,3221.4750638249,52.5555015378,
1535,3017.8721592375,44.5525351629,
1536,3001.2962983419,52.9398716987,
1537,3251.9790329466,49.0866794684,
1538,3097.3567469578,48.9680467027,
1539,3360.9241741758,54.928156852,
1540,3267.7006193336,57.0955774816,
1541,3175.0626017145,62.8599435675,
1542,3318.3845431888,55.4596316424,
1543,3217.2901029536,43.4551820801,
1544,3419.489139568,45.183231401,
1545,3308.470096418,48.0177380263,
1546,3353.2314659893,51.9587019647,
1547,3622.9493510546,57.0061232075,
1548,3504.1169184865,57.5185972603,
1549,3382.480122589,58.0356783561,
1550,3378.904222597,58.5574079111,
1551,3325.5303950063,49.7111891182,
1552,3190.1930457709,37.4754708278,
1553,3746.5939476523,39.228470652,
1554,3430.0706493621,41.063471004,
1555,3419.0319263176,42.9843076436,
1556,2813.3327224612,44.9949957572,
1557,3076.2968585673,47.0997383505,
1558,3906.1014670212,49.3029350342,
1559,3580.9431803448,51.609191221,
1560,3574.2401739249,40.2888068685,
1561,3651.084438915,32.2304574217,
1562,3657.9383720158,27.4341428851,
1563,4010.8519024692,25.8998632629,
1564,3877.768618324,27.6276185464,
1565,3916.27412095,59.1254853806,
1566,4413.2138426597,30.8737755148,
1567,4167.1142693186,35.8709166089,
1568,4203.0619782601,42.7745541781,
1569,4197.637215668,41.6292351176,
1570,3873.2955654859,39.5513320144,
1571,3889.3896832171,32.2069508789,
1572,3785.6892185033,31.5143001774,
1573,4350.5174424549,33.1394859203,
1574,3862.004178623,42.0754346842,
1575,4329.8529485883,44.5915983832,
1576,4497.2830916715,45.6809035939,
1577,3848.202719386,43.2729451257,
1578,4423.5630013613,43.0613372475,
1579,4383.4819746838,42.9756747729,
1580,4181.4180306533,42.9919120942,
1581,4062.7714720049,43.1761746284,
1582,3663.7431495819,43.5044167677,
1583,4180.6629372849,44.7788339473,
1584,4069.3572947894,44.7933887272,
1585,3585.3360912698,44.3502765381,
1586,3523.3072660044,42.1959240875,
1587,3919.4420590384,41.7776579353,
1588,4396.9509894681,41.8419047934,
1589,3874.0568114336,43.0873594297,
