Month,Cocoa,Rice
2013M8,2483.6041350229,503.8235294118
2013M9,2616.0432058664,470
2013M10,2730.6955026463,453.2608695652
2013M11,2755.1690107412,448.8095238095
2013M12,2824.5395851051,447.5454545455
2014M1,2819.4244523319,441.0434782609
2014M2,2992.7631708044,447
2014M3,3041.6671646864,434.1428571429
2014M4,3050.608436712,409.9411764706
2014M5,3029.9961054746,403.5909090909
2014M6,3174.3028227768,414.6666666667
2014M7,3196.0332452253,428
2014M8,3270.2615514093,440.380952381
2014M9,3221.2597690022,436.5
2014M10,3100.8230894252,432.6956521739
2014M11,2909.0897349458,419
2014M12,2946.9418204176,410.7391304348
2015M1,2915.6018012499,409.6818181818
2015M2,2961.9352005652,409.5
2015M3,2878.028926004,400.7272727273
2015M4,2868.2721701649,392.4090909091
2015M5,3095.9942790355,382.4285714286
2015M6,3239.8861480724,370.5454545455
2015M7,3325.9597488149,387.7391304348
2015M8,3154.0176068739,375.5714285714
2015M9,3278.4486780067,358.7727272727
2015M10,3197.3398414253,360.4545454545
2015M11,3360.840463215,358.380952381
2015M12,3345.6562194221,354.347826087
2016M1,2952.4160872799,359.4761904762
2016M2,2916.3665338049,373.1904761905
2016M3,3073.5191380389,370.4782608696
2016M4,3078.4935333032,376.0476190476
2016M5,3098.3885837123,408.8181818182
2016M6,3122.5153598698,420.6818181818
2016M7,3049.9772968152,456.2380952381
2016M8,3032.4882029677,414.2173913043
2016M9,2881.1873701304,384
2016M10,2711.3509111088,367.6666666667
