year,gdp.cap,inflation,unemployment,consumption.real,investments.real
1934,5439,0,11.7341114266,184180.076814345,21003.15
1935,5615,0.7,10.8730308336,189366.308730622,21846.65
1936,5857,0.7,9.2481130948,196342.47909588,23871.05
1937,6035,3.4,7.6965644155,198729.063694521,24672.375
1938,6056,1.6,9.2018277404,197811.146541198,24967.6
1939,6257,2.8,5.6846158748,197306.29210687,22352.75
1940,6844,16.8,2.9907370048,172017.67453281,19400.5
1941,7441,10.8,1.0340303865,167473.984623859,15604.75
1942,7546,7.1,0.4429266137,167473.984623859,13496
1943,7614,3.4,0.319946153,166143.00475154,9278.5
1944,7246,2.7,0.2834568468,172384.841394139,7169.75
1945,6891,2.8,0.4127688753,185878.223547993,8013.25
1946,6755,3.1,1.7145107385,203456.337034137,20244
1947,6621,7,1.2858997637,212130.654133043,23618
1948,6773,7.7,1.287881042,216123.59375,25305
1949,6961,2.8,1.159295932,219965.328125,28718
1950,7155,3.9184952978,1.4469666795,226191.359375,31267
1951,7422,9.0497737557,1.1794100845,223465.71875,33416
1952,7516,10.6500691563,1.9248777932,223874.3125,37116
1953,7909,3.625,1.579524072,233933.515625,46596
1954,8221,2.2919179735,1.3061889031,243885.84375,51660
1955,8505,5.070754717,1.0779749161,254200.703125,55907
1956,8603,5.1627384961,1.1588238459,255619.515625,60485
1957,8725,3.8420490928,1.3963857594,261143.34375,63783
1958,8798,2.8776978417,2.0235791819,268504.34375,67787
1959,9106,0.5994005994,2.1120208934,280164.875,73191
1960,9600,0.7944389275,1.5999888601,290913.03125,84960
1961,9776,3.2512315271,1.518872196,297403.34375,91836
1962,9793,4.1984732824,1.9911737446,304197.53125,92687
1963,10207,2.1062271062,2.4252228552,318470.59375,94861
1964,10700,3.2286995516,1.6316086523,329003.5,110224
1965,10855,4.2571676803,1.4085450784,333630.34375,115389
1966,10966,4,1.5198863158,340133.46875,115141
1967,11206,2.2435897436,2.3434737191,349171.8125,125191
1968,11762,3.9968652038,2.3658350055,359836.53125,138923
1969,11935,5.1996985682,2.2859677924,362714.21875,137694
1970,12221,6.5186246418,2.4383731908,373695.09375,142768
1971,12580,9.414929388,4.1384705652,386068.3125,153142
1972,13080,7.1911493546,4.3432574431,411057,160483
1973,13902,9.3463302752,3.6509590521,433901.5625,163546
1974,13555,15.7315154693,3.6493821457,428332,151352
1975,13355,22.7004984141,4.4968782319,427570.71875,142319
1976,13748,15.6573116691,5.3969465649,429960.21875,143301
1977,14093,14.9425287356,5.5938201606,428595.8125,145538
1978,14687,7.4722222222,5.5052476035,451453.9375,156270
1979,15219,11.3724476609,5.3779997747,472608.15625,169696
1980,14885,15.1543281504,6.8093168394,473240.53125,158737
1981,14762,11.8097541314,9.6490254817,475133.59375,148198
1982,15077,8.1110310022,10.7172146425,481267.9375,155821
1983,15706,4.9349783261,11.4722966935,502456.4375,167089
1984,16037,4.2580235145,11.7743224588,515265.84375,177847
1985,16666,4.9222797927,11.3578199906,542087.375,181405
1986,17152,3.3260711692,11.3237296639,574404.25,179088
1987,18033,3.2049479899,10.4333013947,603762.4375,201290
1988,19039,3.7591936802,8.5744345082,648721.9375,232441
1989,19476,5.2375951693,7.2213936388,673792.0625,243717
1990,19560,6.9726830485,7.0979117688,681302.75,237479
1991,19274,7.5326492537,8.8177889307,677682.875,218605
1992,19294,4.261548471,9.949933009,683769.3125,215067
1993,19733,2.50650026,10.3747520544,704578.875,216704
1994,20448,1.9784902597,9.4960965224,727946.3125,220161
1995,20901,2.6564520943,8.6217880654,743483.5,219121
1996,21383,2.4003084273,8.0970517703,771675.4375,229349
1997,21995,1.8246062711,6.9720137476,810095.5625,225752
1998,22634,1.5573975193,6.2554665361,841375.9375,243682
1999,23294,1.3287103067,5.9768125973,881491.9375,250037
2000,24083,0.7964563931,5.4590485363,923822.4375,258770
2001,24645,1.2335119952,5.0991404404,956850.25,255914
2002,25128,1.2589129588,5.1877990025,992187,263108
2003,25881,1.361592663,5.0117805453,1029234,269400
2004,26397,1.3435230405,4.753956066,1064099.625,277286
2005,26973,2.056943764,4.8294517385,1095513.5,287077
2006,27460,2.3287124657,5.4237398163,1113261.125,296121
2007,27936,2.3228416235,5.3330325782,1145189.125,312995
2008,27534,3.6019155331,5.6853632139,1137564.625,292575
2009,26158,2.1653204511,7.6143097056,1100940.75,248099
2010,26447,3.2981715758,7.8707643814,1107272.875,260396
2011,26623,4.4636932941,8.1109825143,1102261.625,265327
2012,26794,2.8282420991,7.9707450105,1121061.375,271534
2013,27136,2.5647988215,7.6080939787,1138546,280224
2014,27756,1.4610314088,6.1800323338,1163136,298872
2015,28162,0.0400993731,5.3844060828,1192636,308866
